7	1	22	778.1	6.3	0.004	801.7	3.0	0.469
7	1	32	61.2	-0.1	0.717	61.7	0.8	0.200
7	1	35	2.4	-0.3	0.000	2.3	-0.1	0.018
7	1	36	15.0	-0.6	0.000	13.4	-1.6	0.148
7	4	1	-2.1	0.4	0.420	-1.4	1.2	0.010
7	4	2	-5.2	0.4	0.431	-4.0	1.2	0.011
7	4	3	1.4	0.4	0.420	2.4	1.0	0.016
7	4	22	127.0	9.4	0.114	141.5	11.4	0.040
7	4	32	71.0	0.6	0.211	71.4	0.6	0.211
7	4	35	2.9	-0.5	0.000	2.9	-0.5	0.000
7	4	36	17.0	-0.8	0.000	15.6	-1.4	0.621
7	5	1	7.9	0.4	0.106	8.6	0.7	0.010
7	5	2	3.1	0.2	0.342	3.8	0.7	0.009
7	5	3	13.3	0.5	0.094	13.9	0.6	0.016
7	5	22	186.7	16.0	0.047	189.7	1.6	0.762
7	5	32	54.1	-0.9	0.166	54.1	0.1	0.930
7	5	35	2.5	-0.2	0.001	2.6	0.1	0.548
7	5	36	15.3	-0.4	0.003	14.3	-1.0	0.586
7	6	1	17.3	0.7	0.000	18.2	0.9	0.000
7	6	2	12.1	0.6	0.000	13.1	1.0	0.000
7	6	3	23.3	0.8	0.000	24.2	0.9	0.004
7	6	22	285.8	18.5	0.187	289.0	1.1	0.854
7	6	32	55.3	-0.4	0.579	55.8	0.8	0.478
7	6	35	1.9	-0.1	0.021	1.9	0.0	0.849
7	6	36	12.7	-2.9	0.001	9.8	-0.4	0.072
7	7	1	8.0	0.3	0.172	9.3	1.3	0.000
7	7	2	4.2	0.2	0.318	5.5	1.3	0.000
7	7	3	12.6	0.4	0.165	13.8	1.2	0.000
7	7	22	177.8	16.5	0.165	177.5	-0.2	0.977
7	7	32	64.5	0.3	0.650	65.6	1.6	0.031
7	7	35	2.3	-0.2	0.007	2.4	0.1	0.592
7	7	36	14.4	-0.4	0.072	13.0	-1.4	0.625
8	1	1	7.8	0.3	0.493	8.9	1.1	0.000
8	1	2	3.8	0.4	0.013	4.9	1.1	0.000
8	1	3	12.3	0.5	0.011	13.3	1.0	0.000
8	1	22	652.6	2.1	0.299	660.6	1.2	0.789
8	1	32	62.0	-0.7	0.116	62.2	0.3	0.678
8	1	35	3.2	-0.2	0.001	3.1	-0.1	0.013
8	1	36	18.8	-0.5	0.001	16.9	-1.9	0.072
8	4	1	-3.0	0.3	0.493	-1.4	1.2	0.010
8	4	2	-5.7	0.4	0.459	-4.2	1.5	0.005
8	4	3	-0.2	0.3	0.563	0.9	1.1	0.009
8	4	22	104.9	-2.4	0.613	112.4	7.2	0.254
8	4	32	76.3	0.8	0.101	76.4	0.8	0.101
8	4	35	3.7	-0.3	0.008	3.7	-0.3	0.008
